tech,method,f1_at_0p5pct,f1_at_1pct,f1_at_2pct,f1_at_5pct,total_positives_gt,method_tp_coverage,max_recall,effort_at_60pct_recall,reached_60pct,effort_at_80pct_recall,reached_80pct,effort_at_90pct_recall,reached_90pct
ansible,anthropic__claude-sonnet-4-20250514__definition_based,0.5079365079365079,0.8292682926829269,0.6,0.3103448275862068,44,36,0.8181818181818182,0.824468085106383,True,1.303191489361702,True,100.0,False
ansible,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.5079365079365079,0.6585365853658537,0.5500000000000002,0.2844827586206897,44,33,0.75,0.9840425531914894,True,100.0,False,100.0,False
ansible,glitch,0.4761904761904762,0.7073170731707317,0.6333333333333333,0.3275862068965517,44,38,0.8636363636363636,0.9574468085106383,True,1.2765957446808511,True,100.0,False
ansible,intellisa,0.5714285714285715,0.8536585365853658,0.5833333333333334,0.3017241379310345,44,35,0.7954545454545454,0.7446808510638298,True,100.0,False,100.0,False
ansible,openai__gpt-5-2025-08-07__definition_based,0.5396825396825397,0.4390243902439024,0.3,0.1551724137931034,44,18,0.4090909090909091,100.0,False,100.0,False,100.0,False
ansible,openai__gpt-5-2025-08-07__static_analysis_rules,0.4761904761904762,0.7317073170731707,0.5833333333333334,0.3017241379310345,44,35,0.7954545454545454,0.9308510638297872,True,100.0,False,100.0,False
ansible,openrouter__x-ai_grok-4-fast__definition_based,0.5396825396825397,0.6829268292682926,0.4666666666666667,0.2413793103448275,44,28,0.6363636363636364,0.7978723404255319,True,100.0,False,100.0,False
ansible,openrouter__x-ai_grok-4-fast__static_analysis_rules,0.5714285714285715,0.8536585365853658,0.6166666666666667,0.3189655172413793,44,37,0.8409090909090909,0.7712765957446809,True,1.0372340425531914,True,100.0,False
ansible,slac_slic,0.3492063492063492,0.4390243902439024,0.3999999999999999,0.2068965517241379,44,24,0.5454545454545454,100.0,False,100.0,False,100.0,False
chef,anthropic__claude-sonnet-4-20250514__definition_based,0.208,0.4275862068965517,0.5483870967741936,0.3300970873786407,104,51,0.49038461538461536,100.0,False,100.0,False,100.0,False
chef,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.2399999999999999,0.4689655172413792,0.5376344086021505,0.401294498381877,104,62,0.5961538461538461,100.0,False,100.0,False,100.0,False
chef,glitch,0.192,0.3586206896551724,0.5376344086021505,0.4142394822006472,104,64,0.6153846153846154,2.567237163814181,True,100.0,False,100.0,False
chef,intellisa,0.32,0.5517241379310346,0.7526881720430108,0.4530744336569579,104,70,0.6730769230769231,1.662591687041565,True,100.0,False,100.0,False
chef,openai__gpt-5-2025-08-07__definition_based,0.208,0.3586206896551724,0.3870967741935483,0.233009708737864,104,36,0.34615384615384615,100.0,False,100.0,False,100.0,False
chef,openai__gpt-5-2025-08-07__static_analysis_rules,0.208,0.3310344827586207,0.4623655913978494,0.3365695792880259,104,52,0.5,100.0,False,100.0,False,100.0,False
chef,openrouter__x-ai_grok-4-fast__definition_based,0.2239999999999999,0.4137931034482758,0.5806451612903226,0.3883495145631068,104,60,0.5769230769230769,100.0,False,100.0,False,100.0,False
chef,openrouter__x-ai_grok-4-fast__static_analysis_rules,0.2399999999999999,0.3999999999999999,0.6344086021505376,0.4077669902912621,104,63,0.6057692307692307,2.15158924205379,True,100.0,False,100.0,False
chef,slac_slic,0.144,0.2620689655172414,0.3548387096774194,0.2459546925566343,104,38,0.36538461538461536,100.0,False,100.0,False,100.0,False
puppet,anthropic__claude-sonnet-4-20250514__definition_based,0.3294117647058823,0.5333333333333333,0.6758620689655173,0.3712121212121212,65,49,0.7538461538461538,1.3370332996972756,True,100.0,False,100.0,False
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,0.3294117647058823,0.6095238095238096,0.5517241379310345,0.303030303030303,65,40,0.6153846153846154,1.286579212916246,True,100.0,False,100.0,False
puppet,glitch,0.188235294117647,0.3428571428571428,0.4413793103448276,0.393939393939394,65,52,0.8,2.39656912209889,True,3.0524722502522703,True,100.0,False
puppet,intellisa,0.4,0.6476190476190476,0.7448275862068966,0.4090909090909091,65,54,0.8307692307692308,1.1352169525731584,True,1.5388496468213926,True,100.0,False
puppet,openai__gpt-5-2025-08-07__definition_based,0.2588235294117647,0.4761904761904762,0.4827586206896552,0.2651515151515152,65,35,0.5384615384615384,100.0,False,100.0,False,100.0,False
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,0.2352941176470588,0.4,0.5517241379310345,0.303030303030303,65,40,0.6153846153846154,1.715438950554995,True,100.0,False,100.0,False
puppet,openrouter__x-ai_grok-4-fast__definition_based,0.3294117647058823,0.5714285714285714,0.6482758620689656,0.356060606060606,65,47,0.7230769230769231,1.2361251261352169,True,100.0,False,100.0,False
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,0.3529411764705882,0.6095238095238096,0.7172413793103448,0.393939393939394,65,52,0.8,1.1856710393541876,True,1.7406659939455096,True,100.0,False
puppet,slac_slic,0.1647058823529411,0.2476190476190476,0.2758620689655172,0.25,65,33,0.5076923076923077,100.0,False,100.0,False,100.0,False
