tech,method,total_lines,total_positives_gt,method_tp_coverage,f1_at_k_at_0.5pct,f1_at_k_at_1.0pct,f1_at_k_at_2.0pct,f1_at_k_at_5.0pct,f1_at_k_at_10.0pct,precision_at_k_at_0.5pct,precision_at_k_at_1.0pct,precision_at_k_at_2.0pct,precision_at_k_at_5.0pct,precision_at_k_at_10.0pct,recall_at_k_at_0.5pct,recall_at_k_at_1.0pct,recall_at_k_at_2.0pct,recall_at_k_at_5.0pct,recall_at_k_at_10.0pct,effort_percent_at_60pct,effort_percent_at_80pct,effort_percent_at_90pct,reached_at_60pct,reached_at_80pct,reached_at_90pct
puppet,anthropic__claude-sonnet-4-20250514__definition_based,3964,65,49,0.3294117647058823,0.5333333333333333,0.6758620689655173,0.3712121212121212,0.2121212121212121,0.7,0.7,0.6125,0.2462311557788944,0.1234256926952141,0.2153846153846154,0.4307692307692308,0.7538461538461538,0.7538461538461538,0.7538461538461538,1.3370332996972756,100.0,100.0,True,False,False
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,3964,65,40,0.3294117647058823,0.6095238095238096,0.5517241379310345,0.303030303030303,0.1731601731601731,0.7,0.8,0.5,0.2010050251256281,0.1007556675062972,0.2153846153846154,0.4923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.286579212916246,100.0,100.0,True,False,False
puppet,glitch,3964,65,52,0.188235294117647,0.3428571428571428,0.4413793103448276,0.393939393939394,0.2251082251082251,0.4,0.45,0.4,0.2613065326633166,0.1309823677581864,0.123076923076923,0.2769230769230769,0.4923076923076923,0.8,0.8,2.39656912209889,3.0524722502522703,100.0,True,True,False
puppet,intellisa,3964,65,54,0.4,0.6476190476190476,0.7448275862068966,0.4090909090909091,0.2337662337662337,0.85,0.85,0.675,0.271356783919598,0.1360201511335012,0.2615384615384615,0.5230769230769231,0.8307692307692308,0.8307692307692308,0.8307692307692308,1.1352169525731584,1.5388496468213926,100.0,True,True,False
puppet,openai__gpt-5-2025-08-07__definition_based,3964,65,35,0.2588235294117647,0.4761904761904762,0.4827586206896552,0.2651515151515152,0.1515151515151515,0.55,0.625,0.4375,0.1758793969849246,0.08816120906801,0.1692307692307692,0.3846153846153846,0.5384615384615384,0.5384615384615384,0.5384615384615384,100.0,100.0,100.0,False,False,False
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,3964,65,40,0.2352941176470588,0.4,0.5517241379310345,0.303030303030303,0.1731601731601731,0.5,0.525,0.5,0.2010050251256281,0.1007556675062972,0.1538461538461538,0.3230769230769231,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.715438950554995,100.0,100.0,True,False,False
puppet,openrouter__x-ai_grok-4-fast__definition_based,3964,65,47,0.3294117647058823,0.5714285714285714,0.6482758620689656,0.356060606060606,0.2034632034632034,0.7,0.75,0.5875,0.236180904522613,0.1183879093198992,0.2153846153846154,0.4615384615384615,0.7230769230769231,0.7230769230769231,0.7230769230769231,1.2361251261352169,100.0,100.0,True,False,False
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,3964,65,52,0.3529411764705882,0.6095238095238096,0.7172413793103448,0.393939393939394,0.2251082251082251,0.75,0.8,0.65,0.2613065326633166,0.1309823677581864,0.2307692307692307,0.4923076923076923,0.8,0.8,0.8,1.1856710393541876,1.7406659939455096,100.0,True,True,False
puppet,slac_slic,3964,65,33,0.1647058823529411,0.2476190476190476,0.2758620689655172,0.25,0.1428571428571428,0.35,0.325,0.25,0.1658291457286432,0.0831234256926952,0.1076923076923077,0.2,0.3076923076923077,0.5076923076923077,0.5076923076923077,100.0,100.0,100.0,False,False,False
