tech,method,target_recall_percent,effort_percent,k_lines,total_lines,total_positives_gt,method_tp_coverage,max_recall,reached
puppet,anthropic__claude-sonnet-4-20250514__definition_based,60,1.3370332996972756,53,3964,65,49,0.7538461538461538,True
puppet,anthropic__claude-sonnet-4-20250514__definition_based,80,100.0,3964,3964,65,49,0.7538461538461538,False
puppet,anthropic__claude-sonnet-4-20250514__definition_based,90,100.0,3964,3964,65,49,0.7538461538461538,False
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,60,1.286579212916246,51,3964,65,40,0.6153846153846154,True
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,80,100.0,3964,3964,65,40,0.6153846153846154,False
puppet,anthropic__claude-sonnet-4-20250514__static_analysis_rules,90,100.0,3964,3964,65,40,0.6153846153846154,False
puppet,glitch,60,2.39656912209889,95,3964,65,52,0.8,True
puppet,glitch,80,3.0524722502522703,121,3964,65,52,0.8,True
puppet,glitch,90,100.0,3964,3964,65,52,0.8,False
puppet,intellisa,60,1.1352169525731584,45,3964,65,54,0.8307692307692308,True
puppet,intellisa,80,1.5388496468213926,61,3964,65,54,0.8307692307692308,True
puppet,intellisa,90,100.0,3964,3964,65,54,0.8307692307692308,False
puppet,openai__gpt-5-2025-08-07__definition_based,60,100.0,3964,3964,65,35,0.5384615384615384,False
puppet,openai__gpt-5-2025-08-07__definition_based,80,100.0,3964,3964,65,35,0.5384615384615384,False
puppet,openai__gpt-5-2025-08-07__definition_based,90,100.0,3964,3964,65,35,0.5384615384615384,False
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,60,1.715438950554995,68,3964,65,40,0.6153846153846154,True
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,80,100.0,3964,3964,65,40,0.6153846153846154,False
puppet,openai__gpt-5-2025-08-07__static_analysis_rules,90,100.0,3964,3964,65,40,0.6153846153846154,False
puppet,openrouter__x-ai_grok-4-fast__definition_based,60,1.2361251261352169,49,3964,65,47,0.7230769230769231,True
puppet,openrouter__x-ai_grok-4-fast__definition_based,80,100.0,3964,3964,65,47,0.7230769230769231,False
puppet,openrouter__x-ai_grok-4-fast__definition_based,90,100.0,3964,3964,65,47,0.7230769230769231,False
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,60,1.1856710393541876,47,3964,65,52,0.8,True
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,80,1.7406659939455096,69,3964,65,52,0.8,True
puppet,openrouter__x-ai_grok-4-fast__static_analysis_rules,90,100.0,3964,3964,65,52,0.8,False
puppet,slac_slic,60,100.0,3964,3964,65,33,0.5076923076923077,False
puppet,slac_slic,80,100.0,3964,3964,65,33,0.5076923076923077,False
puppet,slac_slic,90,100.0,3964,3964,65,33,0.5076923076923077,False
